post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47738343,The Physics of GPS,science,160,35,maouida,2026-04-14 06:18:16,0.21739130434782608,True
47701769,The Bra-and-Girdle Maker That Fashioned the Impossible for NASA,science,134,19,sohkamyung,2026-04-14 06:18:21,0.14074074074074075,False
47708818,Native Instant Space Switching on macOS,science,642,326,PaulHoule,2026-04-14 06:18:22,0.5069984447900466,True
47728323,Relics of the Heroic Age of Manned Space Flight,science,20,1,zdgeier,2026-04-14 06:18:23,0.047619047619047616,False
47745543,New metal with triple copper's heat conduction challenges fundamental physics,science,29,12,thunderbong,2026-04-14 06:18:24,0.4,False
47733222,Show HN: Bitcoin and Quantum Computing – a three-part research series,science,6,1,nvk,2026-04-14 06:18:36,0.14285714285714285,False
47756569,"Show HN: Ithihāsas – a character explorer for Hindu epics, built in a few hours",entertainment,137,33,cvrajeesh,2026-04-14 06:18:43,0.2391304347826087,False
47757552,Show HN: Continual Learning with .md,entertainment,23,16,wenhan_zhou,2026-04-14 06:18:44,0.6666666666666666,False
47742200,Show HN: boringBar – a taskbar-style dock replacement for macOS,entertainment,503,287,a-ve,2026-04-14 06:18:45,0.5694444444444444,True
47758453,Your Favorite Movies Were CIA Propaganda [video],entertainment,26,1,joe_mamba,2026-04-14 06:18:46,0.037037037037037035,False
47724352,Filing the corners off my MacBooks,entertainment,1394,668,normanvalentine,2026-04-14 06:18:46,0.47885304659498207,True
47741393,Textbooks and Methods of Note-Taking in Early Modern Europe (2008),entertainment,52,0,mooreds,2026-04-14 06:18:47,0.0,False
47739174,Show HN: Oberon System 3 runs natively on Raspberry Pi 3 (with ready SD card),entertainment,237,93,Rochus,2026-04-14 06:18:47,0.3907563025210084,True
47758287,Dear Master (an open letter from an early Facebook employee),entertainment,13,1,plonkus,2026-04-14 06:18:50,0.07142857142857142,False
47733066,New synthesis of astronomical measurements shows Hubble tension is real,entertainment,75,14,anigbrowl,2026-04-14 06:18:52,0.18421052631578946,False
47721997,Show HN: FluidCAD – Parametric CAD with JavaScript,entertainment,155,37,maouida,2026-04-14 06:18:53,0.23717948717948717,False
47745300,Show HN: A social feed with no strangers,entertainment,9,5,rpatni,2026-04-14 06:18:54,0.5,False
47722011,Show HN: A WYSIWYG word processor in Python,entertainment,90,39,chrisecker,2026-04-14 06:18:55,0.42857142857142855,False
47705413,Show HN: I built a Cargo-like build tool for C/C++,entertainment,176,168,randerson_112,2026-04-14 06:18:55,0.9491525423728814,True
47702647,"Launch HN: Relvy (YC F24) – On-call runbooks, automated",entertainment,48,25,behat,2026-04-14 06:18:55,0.5102040816326531,False
47721255,Show HN: Eve – Managed OpenClaw for work,entertainment,71,39,zachdive,2026-04-14 06:18:56,0.5416666666666666,False
47699470,The Life and Death of the Book Review,entertainment,30,7,lermontov,2026-04-14 06:18:56,0.22580645161290322,False
47730522,Show HN: Waffle – Native macOS terminal that auto-tiles sessions into a grid,entertainment,40,20,olleeolleeollee,2026-04-14 06:18:56,0.4878048780487805,False
47736071,The Universal Standard Book Number,entertainment,13,4,novalis78,2026-04-14 06:18:59,0.2857142857142857,False
47715339,Show HN: Keeper – embedded secret store for Go (help me break it),entertainment,63,33,babawere,2026-04-14 06:18:59,0.515625,False
47694036,Show HN: Orange Juice – Small UX improvements that make HN easier to read,entertainment,147,158,latchkey,2026-04-14 06:19:01,1.0675675675675675,False
47690797,Show HN: Go-Bt: Minimalist Behavior Trees for Go,entertainment,62,12,rvitorper,2026-04-14 06:19:02,0.19047619047619047,False
47696562,Show HN: Is Hormuz open yet?,entertainment,482,209,anonfunction,2026-04-14 06:19:02,0.432712215320911,True
47733479,Show HN: A Better Internet,entertainment,10,3,tclancy,2026-04-14 06:19:02,0.2727272727272727,False
47710835,"Show HN: Rust based eBook library for Python, with MIT license",entertainment,33,3,larry-the-agent,2026-04-14 06:19:02,0.08823529411764706,False
